id,en,ja,pos,theme,level,is_frequent
494,they,彼らは,pronoun,pronoun,eiken5,0
495,their,彼らの・彼女らの,pronoun,pronoun,eiken5,0
496,them,彼らを・彼らに・彼らへ,pronoun,pronoun,eiken5,0
497,theirs,彼らのもの,pronoun,pronoun,eiken5,0
498,it,それは・それに・それへ・それを,pronoun,pronoun,eiken5,0
499,its,それの・その・あれの,pronoun,pronoun,eiken5,0
500,these,これらは・これらが・これらを・これらに,pronoun,pronoun,eiken5,0
501,those,それらは,pronoun,pronoun,eiken5,0
502,large,大きな・広い,adjective,adj_thing,eiken5,0
503,big,大きい,adjective,adj_thing,eiken5,0
504,small,ちいさい,adjective,adj_thing,eiken5,0
505,high,高い,adjective,adj_thing,eiken5,0
506,low,低い,adjective,adj_thing,eiken5,0
507,long,長い,adjective,adj_thing,eiken5,0
508,short,短い・背が低い,adjective,adj_thing,eiken5,0
509,young,若い・幼い,adjective,adj_thing,eiken5,0
510,old,古い・年取った,adjective,adj_thing,eiken5,0
511,new,新しい,adjective,adj_thing,eiken5,0
512,tall,高い・背が高い,adjective,adj_thing,eiken5,0
513,fast,はやい（スピードが）,adjective,adj_thing,eiken5,0
514,slow,ゆっくりな（スピード）・遅い,adjective,adj_thing,eiken5,0
515,soft,やわらかい,adjective,adj_thing,eiken5,0
516,hard,固い,adjective,adj_thing,eiken5,0
517,easy,簡単な,adjective,adj_thing,eiken5,0
518,difficult,難しい,adjective,adj_thing,eiken5,0
519,hot,熱い・暑い,adjective,adj_thing,eiken5,0
520,cold,冷たい・寒い,adjective,adj_thing,eiken5,0
521,nice,すてきな・良い,adjective,adj_thing,eiken5,0
522,good,良い,adjective,adj_thing,eiken5,0
523,better,より良い,adjective,adj_thing,eiken5,0
524,bad,悪い,adjective,adj_thing,eiken5,0
525,late,遅い（時間が）,adjective,adj_thing,eiken5,0
526,wonderful,素晴らしい,adjective,adj_thing,eiken5,0
527,great,偉大な・すごい・すばらしい,adjective,adj_thing,eiken5,0
528,right,正しい・右の,adjective,adj_thing,eiken5,0
529,last,最後の,adjective,adj_thing,eiken5,0
530,free,自由な・無料の,adjective,adj_thing,eiken5,0
531,this,この,adjective,adj_thing,eiken5,0
532,that,あの,adjective,adj_thing,eiken5,0
533,happy,しあわせな・うれしい,adjective,adj_emotion,eiken5,0
534,sleepy,眠い,adjective,adj_emotion,eiken5,0
535,fine,元気な・良い,adjective,adj_emotion,eiken5,0
536,busy,いそがしい,adjective,adj_emotion,eiken5,0
537,thirsty,のどがかわいた,adjective,adj_emotion,eiken5,0
538,hungry,お腹がすいた,adjective,adj_emotion,eiken5,0
539,well,健康な,adjective,adj_emotion,eiken5,0
540,sorry,すまないと思って,adjective,adj_emotion,eiken5,0
541,sure,確かで・確信して,adjective,adj_emotion,eiken5,0
542,ready,準備ができている,adjective,adj_emotion,eiken5,0
543,sweet,甘い・かわいい,adjective,adj_emotion,eiken5,0
544,beautiful,美しい,adjective,adj_emotion,eiken5,0
546,cute,かわいい,adjective,adj_emotion,eiken5,0
