id,en,ja,pos,theme,level,is_frequent
1,be,～です（be動詞）,verb,grammar,eiken4,0
2,am,Iのbe動詞,verb,grammar,eiken4,0
3,is,he/she/itのbe動詞,verb,grammar,eiken4,0
4,are,you/we/theyのbe動詞,verb,grammar,eiken4,0
5,do,する,verb,grammar,eiken4,0
6,have,持っている,verb,grammar,eiken4,0
7,go,行く,verb,movement,eiken4,0
8,come,来る,verb,movement,eiken4,0
9,walk,歩く,verb,movement,eiken4,0
10,run,走る,verb,movement,eiken4,0
11,fly,飛ぶ,verb,movement,eiken4,0
12,swim,泳ぐ,verb,movement,eiken4,0
13,jump,ジャンプする,verb,movement,eiken4,0
14,travel,旅行する,verb,movement,eiken4,0
15,arrive,到着する,verb,movement,eiken4,0
16,fall,落ちる,verb,movement,eiken4,0
17,ride,乗る,verb,movement,eiken4,0
18,drive,運転する,verb,movement,eiken4,0
19,climb,登る,verb,movement,eiken4,0
20,hike,ハイキングをする,verb,movement,eiken4,0
21,move,動く,verb,movement,eiken4,0
22,turn,回る,verb,movement,eiken4,0
23,leave,去る・そのままにしておく,verb,movement,eiken4,0
24,follow,ついていく,verb,movement,eiken4,0
25,escape,逃げる,verb,movement,eiken4,0
26,surf,サーフィンする,verb,movement,eiken4,0
27,jog,ジョギングする,verb,movement,eiken4,0
28,cross,交差する,verb,movement,eiken4,0
29,reach,届く,verb,movement,eiken4,0
30,say,言う,verb,communication,eiken4,0
31,tell,伝える,verb,communication,eiken4,0
32,ask,尋ねる,verb,communication,eiken4,0
33,speak,（言語を）話す,verb,communication,eiken4,0
34,write,書く,verb,communication,eiken4,0
35,read,読む,verb,communication,eiken4,0
36,explain,説明する,verb,communication,eiken4,0
37,introduce,紹介する,verb,communication,eiken4,0
38,answer,答える,verb,communication,eiken4,0
39,call,呼ぶ・電話する,verb,communication,eiken4,0
40,show,見せる,verb,communication,eiken4,0
41,send,送る,verb,communication,eiken4,0
42,contact,接触する・連絡を取る,verb,communication,eiken4,0
43,repeat,繰り返す,verb,communication,eiken4,0
44,spell,スペルする・綴る,verb,communication,eiken4,0
45,shout,叫ぶ,verb,communication,eiken4,0
46,thank,感謝する,verb,communication,eiken4,0
47,express,表す,verb,communication,eiken4,0
48,talk,話す,verb,communication,eiken4,0
49,think,思う・考える,verb,mind,eiken4,0
50,know,知っている,verb,mind,eiken4,0
51,believe,信じる,verb,mind,eiken4,0
52,remember,覚えている・思い出す,verb,mind,eiken4,0
53,forget,忘れる,verb,mind,eiken4,0
54,decide,決心する・決める,verb,mind,eiken4,0
55,understand,理解する,verb,mind,eiken4,0
56,feel,感じる,verb,mind,eiken4,0
57,wish,願う,verb,mind,eiken4,0
58,hope,望む,verb,mind,eiken4,0
59,wonder,不思議に思う,verb,mind,eiken4,0
