id,en,ja,pos,theme,level,is_frequent
1,front,正面,noun,abstract,eiken4,1
2,information,情報,noun,abstract,eiken4,1
3,fun,楽しい,adjective,adj_quality,eiken4,1
4,program,番組,noun,media,eiken4,1
5,volunteer,ボランティア,noun,people,eiken4,1
6,boat,ボート,noun,transport,eiken4,1
7,company,会社,noun,abstract,eiken4,1
8,group,グループ,noun,abstract,eiken4,1
9,worry,心配する,verb,mind,eiken4,1
10,England,イングランド,noun,country,eiken4,1
11,hope,〜を望む,verb,mind,eiken4,1
12,stay,滞在する,verb,movement,eiken4,1
13,center,中心,noun,place,eiken4,1
14,example,例,noun,abstract,eiken4,1
15,meeting,会議,noun,event,eiken4,1
16,star,星,noun,abstract,eiken4,1
17,town,町,noun,place,eiken4,1
18,hobby,趣味,noun,abstract,eiken4,1
19,report,報告書,noun,media,eiken4,1
20,video,ビデオ,noun,media,eiken4,1
21,beef,牛肉,noun,food,eiken4,1
22,culture,文化,noun,abstract,eiken4,1
23,hurry,急ぐ,verb,movement,eiken4,1
24,borrow,借りる,verb,action,eiken4,1
25,jogging,ジョギング,noun,sports,eiken4,1
26,thing,物,noun,abstract,eiken4,1
27,apartment,アパート,noun,home,eiken4,1
28,courage,勇気,noun,abstract,eiken4,1
29,future,未来,noun,abstract,eiken4,1
30,member,一員,noun,people,eiken4,1
31,wait,待つ,verb,action,eiken4,1
32,place,場所,noun,abstract,eiken4,1
33,popcorn,ポップコーン,noun,food,eiken4,1
34,Africa,アフリカ,noun,country,eiken4,1
35,eye,目,noun,body,eiken4,1
36,order,〜を注文する,verb,action,eiken4,1
37,Spain,スペイン,noun,country,eiken4,1
38,key,かぎ,noun,home,eiken4,1
39,picnic,ピクニック,noun,event,eiken4,1
40,dress,ドレス,noun,clothing,eiken4,1
41,scientist,科学者,noun,occupation,eiken4,1
42,sound,音,noun,abstract,eiken4,1
43,holiday,祝日,noun,time,eiken4,1
44,robot,ロボット,noun,tech,eiken4,1
45,cheese,チーズ,noun,food,eiken4,1
46,dentist,歯科医,noun,occupation,eiken4,1
47,pancake,パンケーキ,noun,food,eiken4,1
48,India,インド,noun,country,eiken4,1
49,road,道,noun,abstract,eiken4,1
50,visit,訪問する,verb,action,eiken4,1
51,break,～を壊す,verb,action,eiken4,1
52,menu,メニュー,noun,food,eiken4,1
53,race,レース,noun,sports,eiken4,1
54,wake,起こす,verb,movement,eiken4,1
55,farm,農場,noun,place,eiken4,1
56,musical,ミュージカル,noun,media,eiken4,1
57,say,言う,verb,communication,eiken4,1
58,university,大学,noun,abstract,eiken4,1
59,calendar,カレンダー,noun,time,eiken4,1
60,join,加わる,verb,action,eiken4,1
61,sick,病気の,adjective,adj_state,eiken4,1
62,arrive,着く,verb,movement,eiken4,1
63,clothes,服,noun,abstract,eiken4,1
64,fever,熱,noun,body,eiken4,1
65,sale,安売り,noun,event,eiken4,1
66,speech,スピーチ,noun,abstract,eiken4,1
67,arm,腕,noun,body,eiken4,1
68,corner,角,noun,abstract,eiken4,1
69,lake,湖,noun,nature,eiken4,1
70,yesterday,昨日,noun,time,eiken4,1
71,change,～を変える,verb,action,eiken4,1
72,cloud,雲,noun,nature,eiken4,1
73,parent,親,noun,people,eiken4,1
74,question,質問,noun,abstract,eiken4,1
75,uniform,制服,noun,clothing,eiken4,1
76,actor,俳優,noun,occupation,eiken4,1
77,goal,ゴール,noun,abstract,eiken4,1
78,snack,軽食,noun,food,eiken4,1
79,useful,役に立つ,adjective,adj_quality,eiken4,1
80,airplane,飛行機,noun,transport,eiken4,1
81,husband,夫,noun,people,eiken4,1
82,poster,ポスター,noun,object,eiken4,1
83,tent,テント,noun,object,eiken4,1
84,travel,旅行,noun,transport,eiken4,1
85,cafe,喫茶店,noun,place,eiken4,1
86,feel,感じる,verb,mind,eiken4,1
87,map,地図,noun,transport,eiken4,1
88,season,季節,noun,time,eiken4,1
89,catch,～をつかまえる,verb,action,eiken4,1
